tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-mass,animal-mortality-type,animal-sex,attachment-type,capture-latitude,capture-longitude,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
700507A,NECOYaF,Canis latrans,2018-06-25 00:00:00.000,2019-11-02 23:59:00.000,,1 years,9000.0,,f,collar,48.01263,-118.04504,EndFate: Unknown; SubCause: Unknown,unknown,NECOYaF_700507A,none,Northeast,Telonics,TGW-4470-4,satellite
700492A,MVBOB88M,Lynx rufus,2018-07-19 00:00:00.000,2019-12-26 23:59:00.000,Cause: Human; SubCause: Shot,2 years,13000.0,harvest,m,collar,48.3789,-119.91067,,dead,MVBOB88M_700492A,none,Okanogan,Telonics,TGW-4270-4,satellite
700499A,MVBOB90M,Lynx rufus,2018-07-21 00:00:00.000,2019-02-26 23:59:00.000,Cause: Predator; SubCause: Cougar,5 years,7000.0,predation,m,collar,48.39468,-119.95383,,dead,MVBOB90M_700499A,none,Okanogan,Telonics,TGW-4270-4,satellite
699687A,MVCOY68F,Canis latrans,2018-08-05 00:00:00.000,2022-03-04 23:59:00.000,,1.5 years,10000.0,,f,collar,48.40617,-119.93379,EndFate: Alive; SubCause: StudyEnd,analysis-end,MVCOY68F_699687A,none,Okanogan,Telonics,TGW-4470-4,satellite
700496A,MVBOB71M,Lynx rufus,2018-08-07 00:00:00.000,2020-01-31 23:59:00.000,Cause: Human; SubCause: Trapped,4 years,9000.0,harvest,m,collar,48.41065,-119.8466,,dead,MVBOB71M_700496A,none,Okanogan,Telonics,TGW-4270-4,satellite
699730A,NECOY1F,Canis latrans,2018-08-08 00:00:00.000,2020-01-31 23:59:00.000,Cause: Predator; SubCause: Cougar,1 years,11200.0,predation,f,collar,48.35689,-117.8939,,dead,NECOY1F_699730A,none,Northeast,Telonics,TGW-4470-4,satellite
700502A,NECOY2M,Canis latrans,2018-08-18 00:00:00.000,2020-07-01 23:59:00.000,,1.5 years,8850.0,,m,collar,48.3922,-117.93539,EndFate: Alive; SubCause: DropCollar,scheduled-detachment,NECOY2M_700502A,none,Northeast,Telonics,TGW-4470-4,satellite
689062A,NECOY3F,Canis latrans,2018-08-21 00:00:00.000,2020-03-10 23:59:00.000,,1 years,9600.0,,f,collar,48.44388,-118.03806,EndFate: Alive; SubCause: DropCollar,scheduled-detachment,NECOY3F_689062A,none,Northeast,Telonics,TGW-4470-4,satellite
700500A,MVCOY65M,Canis latrans,2018-08-28 00:00:00.000,2019-11-23 23:59:00.000,Cause: Other; SubCause: Coyote,4.5 years,14200.0,predation,m,collar,48.46724,-120.09838,,dead,MVCOY65M_700500A,none,Okanogan,Telonics,TGW-4470-4,satellite
689060A,NECOY4M,Canis latrans,2018-08-30 00:00:00.000,2020-05-05 23:59:00.000,Cause: Human; SubCause: Shot,2 years,12700.0,harvest,m,collar,48.17317,-117.26766,,dead,NECOY4M_689060A,none,Northeast,Telonics,TGW-4470-4,satellite
