HYAR,x,y,Slope_100,Slope_200,Slope_300,Slope_400,Slope_500,Slope_600,Slope_700,Slope_800,Slope_900,Slope_1000,Slope_1100,Slope_1200,Water_100,Water_200,Water_300,Water_400,Water_500,Water_600,Water_700,Water_800,Water_900,Water_1000,Water_1100,Water_1200,PREC_100,PREC_200,PREC_300,PREC_400,PREC_500,PREC_600,PREC_700,PREC_800,PREC_900,PREC_1000,PREC_1100,PREC_1200
0,479077.3706,3505989.115,6.847414906,7.501959325,9.036749708,9.166539074,9.698353526,9.790371432,9.905878994,10.19705352,10.37282706,10.5654595,10.71325989,10.67542757,0,0,0,0,0,0,0,0,0,0,0,0,405.1597636,405.1597568,405.1597551,405.160393,405.1756166,405.2169753,405.2822375,405.373062,405.4872359,405.626959,405.7710474,405.93922
1,477997.3706,3520629.115,4.331535906,5.529592347,6.506543924,7.069605257,8.131998128,9.873898676,11.52813592,12.76262755,13.40160817,14.47580452,15.03871144,14.90801498,0.108108108,0.02919708,0.012618297,0.007233273,0.004561003,0.00318218,0.00234055,0.001791312,0.001417937,0.001141227,0.000951249,0.00079602,484.1651537,484.0259341,483.8000379,483.5750307,483.3202822,483.0523185,482.7424981,482.3966898,482.030185,481.6151255,481.1863711,480.6849233
0,531037.3706,3516369.115,10.06614854,10.05209885,8.850953532,8.501088975,7.884589872,7.378839186,7.011403919,6.645216178,6.444593539,6.273499446,6.268850744,6.182230004,0,0,0,0,0,0,0,0,0,0,0,0,421.5225352,421.4995888,421.451586,421.3895958,421.3113646,421.2313768,421.1469711,421.0603504,420.9740286,420.8863368,420.8087156,420.7332306
1,531697.3706,3514059.115,3.217893517,3.510728659,3.906379647,3.935000376,4.269796156,4.4526985,4.520616394,4.46017297,4.498805236,4.480698668,4.518071535,4.60500881,0,0,0,0,0,0,0,0,0,0,0,0,413.5825542,413.5805711,413.5718991,413.5613633,413.5499179,413.5395545,413.5312775,413.5253259,413.5216341,413.5196418,413.5176089,413.5146741
0,536017.3706,3514059.115,3.958748399,3.628283613,3.719223046,3.787036232,3.88280035,3.960221095,3.994291601,4.062667254,4.136481607,4.25476503,4.295694715,4.269486596,0,0,0,0,0,0,0,0,0,0,0,0,391.3192675,391.319266,391.3192605,391.3198636,391.3271028,391.3402034,391.3573277,391.3759323,391.394601,391.4136031,391.4297474,391.4433353
1,534337.3706,3517029.115,6.813963036,5.336680394,5.13957888,4.897211684,4.624892559,4.614905502,4.650971682,4.690392634,4.629366406,4.61297397,4.592182069,4.493310533,0,0.02189781,0.041009464,0.032549729,0.020524515,0.014319809,0.010532475,0.008060905,0.006380716,0.005135521,0.004280618,0.00358209,402.5847877,402.5847854,402.5847831,402.5851902,402.5953532,402.6182804,402.6529332,402.69482,402.7416089,402.7940975,402.8443816,402.899034
1,537217.3706,3510699.115,3.971836577,4.931253434,4.852741284,4.489360084,4.513591779,4.315484902,4.389642243,4.590760791,4.779709204,4.887044379,4.99539891,5.076847605,0,0,0,0,0,0,0,0,0,0,0,0,389.3108174,389.2901634,389.2284197,389.1555847,389.0703063,388.9857772,388.9011254,388.8200074,388.7473114,388.6790371,388.6169804,388.5499637
0,536227.3706,3506949.115,5.865369858,4.948613379,4.784087947,5.090867599,5.272500873,5.315948646,5.386778007,5.379716799,5.296423078,5.329268382,5.33153635,5.302666088,0,0,0,0,0,0,0,0,0,0,0,0,404.5633966,404.5563735,404.5415209,404.5183062,404.4788605,404.4327863,404.383302,404.3370999,404.2971163,404.2606741,404.2303313,404.2028951
1,537907.3706,3505059.115,5.278194345,5.737452008,5.484224257,5.425184426,5.634794993,5.6744943,5.77474549,5.813365922,5.810823884,5.835656586,5.882363797,5.855180688,0,0,0,0,0,0,0,0,0,0,0,0,412.0934687,412.0800051,412.0654387,412.0503222,412.0180612,411.9706349,411.9137379,411.8507325,411.783154,411.7079611,411.6331332,411.5493584
0,540847.3706,3511389.115,6.355314289,6.53220271,8.007447814,8.757221281,9.442094521,9.274917611,9.276972665,9.327937162,9.214010781,8.985235781,8.948216202,8.916151828,0,0,0,0,0,0,0,0,0,0,0,0,371.4223979,371.4223958,371.419794,371.4131059,371.4054564,371.403812,371.4135817,371.4378882,371.4753364,371.5262694,371.580819,371.6453321
