"x_","y_","t_","sex","id","name"
1782513.34765353,2402546.77436755,2010-12-16 16:45:30.999,"F","F2","Lupe"
1782930.48623965,2402769.22283868,2010-12-16 21:21:13.999,"F","F2","Lupe"
1783537.14490738,2402640.73980501,2010-12-16 21:28:25.999,"F","F2","Lupe"
1783703.94977558,2402653.51038428,2010-12-16 21:32:34.001,"F","F2","Lupe"
1783705.29724644,2402624.56621433,2010-12-17 08:57:00.999,"F","F2","Lupe"
1783694.98669183,2402635.3188048,2010-12-17 08:58:05,"F","F2","Lupe"
1783659.78673547,2402635.71667573,2010-12-17 09:05:14,"F","F2","Lupe"
1783640.61592874,2402650.96184223,2010-12-17 09:07:04,"F","F2","Lupe"
1783609.02453863,2402643.96897609,2010-12-17 09:10:55.998,"F","F2","Lupe"
1783560.12589268,2402638.14635085,2010-12-17 09:16:29.001,"F","F2","Lupe"
1783529.27364332,2402572.15913307,2010-12-17 09:20:06.001,"F","F2","Lupe"
1783525.06719518,2402556.05977273,2010-12-17 09:22:26.998,"F","F2","Lupe"
1783522.93349283,2402572.26458136,2010-12-17 09:24:53,"F","F2","Lupe"
1783305.69620956,2402491.87055383,2010-12-17 09:37:24,"F","F2","Lupe"
1783291.83360483,2402487.57532254,2010-12-17 09:40:34.999,"F","F2","Lupe"
1783280.52009574,2402503.76418352,2010-12-17 09:42:33,"F","F2","Lupe"
1783330.33827944,2402583.08697199,2010-12-18 01:08:42.998,"F","F2","Lupe"
1783216.36605482,2402590.57136225,2010-12-18 01:12:23,"F","F2","Lupe"
1783198.65960355,2402610.62041584,2010-12-18 01:14:15.998,"F","F2","Lupe"
1783181.20682262,2402640.79018089,2010-12-18 01:16:16.999,"F","F2","Lupe"
1783134.51056097,2402640.82094098,2010-12-18 01:24:34.001,"F","F2","Lupe"
1783135.73903747,2402629.35167794,2010-12-18 01:27:21.998,"F","F2","Lupe"
1783148.01800939,2402623.34871003,2010-12-18 01:28:09.999,"F","F2","Lupe"
1783183.41208663,2402556.49813996,2010-12-18 01:30:17,"F","F2","Lupe"
1783144.73786601,2402601.32490221,2010-12-18 01:32:07.001,"F","F2","Lupe"
1783139.8951415,2402614.28075596,2010-12-18 01:34:15.001,"F","F2","Lupe"
1783104.92111253,2402634.94763531,2010-12-18 01:38:06.001,"F","F2","Lupe"
1783110.83102621,2402622.85330272,2010-12-18 01:40:07,"F","F2","Lupe"
1783192.53691352,2402668.27006407,2010-12-18 01:50:07,"F","F2","Lupe"
1783298.19050611,2402661.82359025,2010-12-18 01:58:41.999,"F","F2","Lupe"
1783311.48849242,2402681.91446759,2010-12-18 02:02:28.001,"F","F2","Lupe"
1783277.51019305,2402659.40426749,2010-12-18 02:04:09.998,"F","F2","Lupe"
1783146.27169358,2402604.55946992,2010-12-18 02:13:22.001,"F","F2","Lupe"
1783134.72896591,2402606.39566873,2010-12-18 02:19:21.999,"F","F2","Lupe"
1783154.4682924,2402630.79154099,2010-12-18 02:20:08.998,"F","F2","Lupe"
1783150.50054709,2402616.01244265,2010-12-18 02:22:07,"F","F2","Lupe"
1783150.30227595,2402628.32299266,2010-12-18 02:24:09.001,"F","F2","Lupe"
1783163.99041072,2402620.64408667,2010-12-18 02:26:08.998,"F","F2","Lupe"
1783162.93463309,2402629.01895232,2010-12-18 02:28:10.001,"F","F2","Lupe"
1783138.22991699,2402612.55400698,2010-12-18 02:30:26.999,"F","F2","Lupe"
1783156.71262032,2402605.14966299,2010-12-18 02:41:04.001,"F","F2","Lupe"
1783148.15271549,2402626.73415358,2010-12-18 02:44:17.999,"F","F2","Lupe"
1783292.34933548,2402559.60352687,2010-12-18 02:50:58.999,"F","F2","Lupe"
1783282.08585264,2402490.80137719,2010-12-18 02:54:31.001,"F","F2","Lupe"
1783396.59932759,2402610.69720939,2010-12-18 08:16:55.999,"F","F2","Lupe"
1783439.23590645,2402658.68860713,2010-12-18 08:20:08.001,"F","F2","Lupe"
1783431.99970989,2402657.88120841,2010-12-18 08:22:16.999,"F","F2","Lupe"
1783477.49893903,2402642.39712109,2010-12-18 08:24:07.999,"F","F2","Lupe"
1783513.16874431,2402668.60528487,2010-12-18 08:26:08,"F","F2","Lupe"
1783541.04277398,2402714.15575964,2010-12-18 08:28:08.998,"F","F2","Lupe"
1783551.74746712,2402679.60800109,2010-12-18 08:30:18,"F","F2","Lupe"
1783509.50024521,2402643.84752609,2010-12-18 08:36:07.001,"F","F2","Lupe"
1783402.08833967,2402609.24150923,2010-12-18 08:40:26.998,"F","F2","Lupe"
1783229.40461165,2402555.45093013,2010-12-18 08:44:55.999,"F","F2","Lupe"
1783179.74506376,2402554.64164907,2010-12-18 08:46:05.998,"F","F2","Lupe"
1783143.094662,2402603.1061992,2010-12-18 08:48:10.001,"F","F2","Lupe"
1783143.01257631,2402624.03481917,2010-12-18 08:50:17.999,"F","F2","Lupe"
1783163.05520737,2402632.71113624,2010-12-18 08:52:46,"F","F2","Lupe"
1783128.63740004,2402643.82810275,2010-12-18 09:00:27,"F","F2","Lupe"
1783159.08693599,2402625.9482196,2010-12-18 09:03:37,"F","F2","Lupe"
1783193.65142826,2402652.37514899,2010-12-18 09:08:11,"F","F2","Lupe"
1783185.01386127,2402710.08354862,2010-12-18 09:12:35,"F","F2","Lupe"
1783190.6386876,2402747.62748704,2010-12-18 09:15:21.001,"F","F2","Lupe"
1783188.01724958,2402750.81930513,2010-12-18 09:16:05.998,"F","F2","Lupe"
1783188.47544249,2402765.54788099,2010-12-18 09:18:04.998,"F","F2","Lupe"
1783204.51858161,2402818.31977899,2010-12-18 09:21:12.999,"F","F2","Lupe"
1783202.04495784,2402809.09719899,2010-12-18 09:22:09.998,"F","F2","Lupe"
1783225.61942773,2402736.32269545,2010-12-18 09:24:04.998,"F","F2","Lupe"
1783224.31561614,2402737.9776613,2010-12-18 09:26:08.998,"F","F2","Lupe"
1783229.28592634,2402735.7098931,2010-12-18 09:28:12,"F","F2","Lupe"
1783262.59146095,2402713.64909652,2010-12-18 09:30:05,"F","F2","Lupe"
1783231.70618272,2402564.51790744,2010-12-18 09:34:06.998,"F","F2","Lupe"
1783207.41941444,2402518.25706719,2010-12-18 09:36:09,"F","F2","Lupe"
1783207.050736,2402489.69910315,2010-12-18 09:38:07.998,"F","F2","Lupe"
1783234.69734898,2402465.43581486,2010-12-18 09:40:07.999,"F","F2","Lupe"
1783259.55636605,2402521.24981936,2010-12-18 09:42:06.999,"F","F2","Lupe"
1783272.39897854,2402519.40017565,2010-12-18 09:44:08,"F","F2","Lupe"
1783288.8816084,2402487.25488369,2010-12-18 23:01:24.998,"F","F2","Lupe"
1783164.83606892,2402634.37341239,2010-12-18 23:10:43.998,"F","F2","Lupe"
1783170.31408423,2402644.79013777,2010-12-18 23:12:40,"F","F2","Lupe"
1783179.87642102,2402648.13526693,2010-12-18 23:20:21,"F","F2","Lupe"
1783148.13304857,2402640.83268958,2010-12-18 23:26:45,"F","F2","Lupe"
1783116.82826751,2402637.04511187,2010-12-18 23:30:26.998,"F","F2","Lupe"
1783110.26754558,2402636.81149832,2010-12-18 23:32:09.999,"F","F2","Lupe"
1783116.5798868,2402659.84076743,2010-12-18 23:34:06.998,"F","F2","Lupe"
1783289.82013844,2402768.24471032,2010-12-18 23:47:03.001,"F","F2","Lupe"
1783339.89205499,2402816.02199728,2010-12-18 23:50:22,"F","F2","Lupe"
1783326.53059773,2402866.8687039,2010-12-18 23:54:05.001,"F","F2","Lupe"
1783292.39493576,2402889.43296419,2010-12-18 23:56:05.998,"F","F2","Lupe"
1783337.91286337,2402898.28911827,2010-12-18 23:58:09.001,"F","F2","Lupe"
1783355.69235603,2402912.20670466,2010-12-19 00:00:06,"F","F2","Lupe"
1783341.39235451,2402911.17258395,2010-12-19 00:02:08.001,"F","F2","Lupe"
1783334.69817092,2402903.87844054,2010-12-19 00:04:07.998,"F","F2","Lupe"
1783374.33096635,2402909.72096922,2010-12-19 00:06:12.001,"F","F2","Lupe"
1783381.07293389,2402920.44893676,2010-12-19 00:09:04,"F","F2","Lupe"
1783409.70775862,2402887.00322166,2010-12-19 00:10:45.001,"F","F2","Lupe"
1783268.08055365,2402923.63853534,2010-12-19 02:41:14,"F","F2","Lupe"
1783313.94469474,2403069.2218989,2010-12-19 02:48:37.001,"F","F2","Lupe"
1783401.43180011,2402847.48692509,2010-12-19 02:55:08,"F","F2","Lupe"
1783452.1743747,2402811.88377794,2010-12-19 02:56:07.001,"F","F2","Lupe"
1783514.98782249,2402870.44558094,2010-12-19 02:58:03.998,"F","F2","Lupe"
1783594.41212278,2402959.95703328,2010-12-19 03:00:15.999,"F","F2","Lupe"
1783579.1835733,2403003.78034537,2010-12-19 03:02:08,"F","F2","Lupe"
1783605.52901038,2403014.02075077,2010-12-19 03:04:13,"F","F2","Lupe"
1783610.74126434,2403000.99186248,2010-12-19 03:06:06.001,"F","F2","Lupe"
1783680.93134297,2402992.24537087,2010-12-19 03:10:39.999,"F","F2","Lupe"
1783670.214125,2402922.90938943,2010-12-19 03:18:15.999,"F","F2","Lupe"
1783648.59098559,2402845.59089661,2010-12-19 03:26:12,"F","F2","Lupe"
1783669.64469849,2402832.42297991,2010-12-19 03:28:40,"F","F2","Lupe"
1783673.91825725,2402820.3200803,2010-12-19 03:36:51.998,"F","F2","Lupe"
1783750.94738174,2402845.2259956,2010-12-19 03:42:28.999,"F","F2","Lupe"
1783875.67126951,2402903.64942816,2010-12-19 03:48:17.001,"F","F2","Lupe"
1784014.8851954,2403011.73717075,2010-12-19 03:56:05,"F","F2","Lupe"
1783994.14759516,2403042.02283442,2010-12-19 04:00:05.001,"F","F2","Lupe"
1783970.26873711,2403028.11624289,2010-12-19 04:02:06.001,"F","F2","Lupe"
1783970.85320743,2403007.47847299,2010-12-19 04:04:05.998,"F","F2","Lupe"
1783872.17643016,2402870.29569639,2010-12-19 04:06:05,"F","F2","Lupe"
1783596.72964499,2402799.58068661,2010-12-19 04:08:04,"F","F2","Lupe"
1783511.47388152,2402673.00430578,2010-12-19 04:12:08.998,"F","F2","Lupe"
1783438.52791035,2402620.48319514,2010-12-19 04:14:08.999,"F","F2","Lupe"
1783421.22727294,2402598.3640134,2010-12-19 04:16:18.999,"F","F2","Lupe"
1783377.50444914,2402733.71100028,2010-12-19 04:23:09.999,"F","F2","Lupe"
1783226.16218585,2402597.09577221,2010-12-19 04:26:06.999,"F","F2","Lupe"
1783176.84360127,2402645.57915965,2010-12-19 04:30:11.999,"F","F2","Lupe"
1783173.81698854,2402650.83411771,2010-12-19 04:38:24.001,"F","F2","Lupe"
1783221.91009965,2402670.32551684,2010-12-19 04:44:30.001,"F","F2","Lupe"
1783303.77257007,2402505.92001405,2010-12-19 04:50:16.998,"F","F2","Lupe"
1783318.89234319,2402521.14803685,2010-12-19 22:50:15.998,"F","F2","Lupe"
1783201.22961952,2402511.6913307,2010-12-19 22:56:09.998,"F","F2","Lupe"
1783115.01323264,2402534.34404417,2010-12-19 23:02:28.998,"F","F2","Lupe"
1783143.04930808,2402608.73443513,2010-12-19 23:10:08.998,"F","F2","Lupe"
1783112.25394323,2402638.45354711,2010-12-19 23:18:50.998,"F","F2","Lupe"
1783126.07110237,2402633.61890516,2010-12-19 23:30:07.999,"F","F2","Lupe"
1783173.3589682,2402643.80032932,2010-12-19 23:40:49.999,"F","F2","Lupe"
1783037.48754686,2402650.3478826,2010-12-19 23:46:15,"F","F2","Lupe"
1782993.76154149,2402656.34308651,2010-12-19 23:52:40.998,"F","F2","Lupe"
1782996.77240711,2402617.82487341,2010-12-19 23:56:07.001,"F","F2","Lupe"
1783121.57710093,2402560.86682315,2010-12-20 00:01:34,"F","F2","Lupe"
1783233.53368306,2402568.41928578,2010-12-20 00:04:06.001,"F","F2","Lupe"
1783266.71831946,2402573.59441949,2010-12-20 00:08:26,"F","F2","Lupe"
1783258.34053495,2402557.9770475,2010-12-20 00:10:06.998,"F","F2","Lupe"
1783272.45457643,2402521.35426996,2010-12-20 00:12:18,"F","F2","Lupe"
1783282.4259211,2402491.27243286,2010-12-20 00:14:08.001,"F","F2","Lupe"
1783294.33608556,2402503.91384571,2010-12-20 02:29:24.999,"F","F2","Lupe"
1783107.8703531,2402787.96749488,2010-12-20 02:38:53.001,"F","F2","Lupe"
1783039.00040885,2402862.88497801,2010-12-20 02:45:40,"F","F2","Lupe"
1783043.13636979,2402860.89033004,2010-12-20 02:46:04.001,"F","F2","Lupe"
1783025.05200973,2402712.33595632,2010-12-20 02:52:36.998,"F","F2","Lupe"
1782992.61551463,2402778.35985591,2010-12-20 02:54:31.999,"F","F2","Lupe"
1782950.71696342,2402752.42441963,2010-12-20 02:56:15.001,"F","F2","Lupe"
1782928.13768686,2402769.78047849,2010-12-20 02:58:09.999,"F","F2","Lupe"
1782942.38716445,2402719.33930837,2010-12-20 03:00:12.999,"F","F2","Lupe"
1783011.68919122,2402729.19940114,2010-12-20 03:04:16,"F","F2","Lupe"
1783010.07755964,2402742.39242522,2010-12-20 03:06:40.001,"F","F2","Lupe"
1783055.3166098,2402707.34371435,2010-12-20 03:12:41.001,"F","F2","Lupe"
1783107.89665025,2402619.98749703,2010-12-20 03:15:34,"F","F2","Lupe"
1783104.59595252,2402623.82234625,2010-12-20 03:16:06,"F","F2","Lupe"
1783079.394673,2402521.01310617,2010-12-20 03:24:07.998,"F","F2","Lupe"
1783075.85655708,2402522.91972918,2010-12-20 03:26:08,"F","F2","Lupe"
1783078.09500552,2402540.5507075,2010-12-20 03:28:08,"F","F2","Lupe"
1783071.91571847,2402559.21939098,2010-12-20 03:30:08.001,"F","F2","Lupe"
1783066.2529345,2402560.70305134,2010-12-20 03:32:07.999,"F","F2","Lupe"
1783071.37641633,2402544.19601687,2010-12-20 03:34:07.999,"F","F2","Lupe"
1783074.35311956,2402548.50741045,2010-12-20 03:36:08,"F","F2","Lupe"
1783077.20503464,2402540.28244128,2010-12-20 03:38:07,"F","F2","Lupe"
1783055.09950154,2402550.48083787,2010-12-20 03:40:07,"F","F2","Lupe"
1783055.82426421,2402546.15055362,2010-12-20 03:42:06.999,"F","F2","Lupe"
1783072.32281051,2402549.41605518,2010-12-20 03:44:08.999,"F","F2","Lupe"
1783080.83252135,2402533.09107731,2010-12-20 03:46:06.999,"F","F2","Lupe"
1782997.79359805,2402581.84426448,2010-12-20 03:48:05.999,"F","F2","Lupe"
1782961.64490437,2402660.64419738,2010-12-20 03:50:06.001,"F","F2","Lupe"
1782868.3588435,2402700.12581809,2010-12-20 03:52:04,"F","F2","Lupe"
1782840.90595292,2402717.64834894,2010-12-20 03:54:07.998,"F","F2","Lupe"
1782780.04239961,2402730.42640498,2010-12-20 03:58:03.998,"F","F2","Lupe"
1782728.58459953,2402712.71340106,2010-12-20 04:00:08.998,"F","F2","Lupe"
1782716.75728911,2402692.27166574,2010-12-20 04:02:08.001,"F","F2","Lupe"
1782702.51259146,2402690.7925305,2010-12-20 04:04:07.998,"F","F2","Lupe"
1782787.48691461,2402730.31785729,2010-12-20 04:06:10,"F","F2","Lupe"
1782785.99617505,2402935.07858061,2010-12-20 04:14:07.001,"F","F2","Lupe"
1782754.93842868,2403030.63433388,2010-12-20 04:16:27.998,"F","F2","Lupe"
1782654.95158462,2403251.62653167,2010-12-20 04:24:48.001,"F","F2","Lupe"
1782613.59808241,2403256.94452683,2010-12-20 04:26:07.999,"F","F2","Lupe"
