ELKI,x,y,Forest_100,Forest_200,Forest_300,Forest_400,Forest_500,Forest_600,Forest_700,Forest_800,Forest_900,Forest_1000,Forest_1100,Forest_1200,Grass_100,Grass_200,Grass_300,Grass_400,Grass_500,Grass_600,Grass_700,Grass_800,Grass_900,Grass_1000,Grass_1100,Grass_1200,Water_100,Water_200,Water_300,Water_400,Water_500,Water_600,Water_700,Water_800,Water_900,Water_1000,Water_1100,Water_1200,PREC_100,PREC_200,PREC_300,PREC_400,PREC_500,PREC_600,PREC_700,PREC_800,PREC_900,PREC_1000,PREC_1100,PREC_1200
1,479077.3706,3505989.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009463722,0.018083183,0.014823261,0.013524264,0.009947338,0.007613077,0.006026232,0.004850214,0.004280618,0.004975124,0,0,0,0,0,0,0,0,0,0,0,0,405.1597636,405.1597568,405.1597551,405.160393,405.1756166,405.2169753,405.2822375,405.373062,405.4872359,405.626959,405.7710474,405.93922
0,477997.3706,3520629.115,0,0,0,0,0,0,0,0,0,0.001141227,0.000951249,0.00079602,0,0,0,0,0.015963512,0.020684169,0.0187244,0.014330497,0.011343495,0.009129815,0.007609988,0.006567164,0.108108108,0.02919708,0.012618297,0.007233273,0.004561003,0.00318218,0.00234055,0.001791312,0.001417937,0.001141227,0.000951249,0.00079602,484.1651537,484.0259341,483.8000379,483.5750307,483.3202822,483.0523185,482.7424981,482.3966898,482.030185,481.6151255,481.1863711,480.6849233
1,531037.3706,3516369.115,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.996845426,0.960216998,0.931584949,0.922036595,0.925102399,0.923421406,0.925912797,0.930099857,0.936504162,0.941492537,0,0,0,0,0,0,0,0,0,0,0,0,421.5225352,421.4995888,421.451586,421.3895958,421.3113646,421.2313768,421.1469711,421.0603504,420.9740286,420.8863368,420.8087156,420.7332306
1,531697.3706,3514059.115,0,0,0,0,0,0,0,0,0,0,0,0,0.675675676,0.912408759,0.958990536,0.965641953,0.93386545,0.926809865,0.920421299,0.905508285,0.874512584,0.839087019,0.814268728,0.802587065,0,0,0,0,0,0,0,0,0,0,0,0,413.5825542,413.5805711,413.5718991,413.5613633,413.5499179,413.5395545,413.5312775,413.5253259,413.5216341,413.5196418,413.5176089,413.5146741
0,536017.3706,3514059.115,0,0,0,0,0,0,0,0,0,0,0,0,0.243243243,0.299270073,0.369085174,0.428571429,0.498289624,0.555290374,0.562317145,0.566054635,0.567883729,0.565477889,0.565279429,0.570945274,0,0,0,0,0,0,0,0,0,0,0,0,391.3192675,391.319266,391.3192605,391.3198636,391.3271028,391.3402034,391.3573277,391.3759323,391.394601,391.4136031,391.4297474,391.4433353
1,534337.3706,3517029.115,0,0.02919708,0.041009464,0.043399638,0.031927024,0.022275259,0.01638385,0.012539185,0.009925558,0.007988588,0.00665874,0.005572139,0.216216216,0.416058394,0.533123028,0.596745027,0.654503991,0.685759745,0.721474547,0.741155396,0.766040411,0.786875892,0.8,0.818109453,0,0.02189781,0.041009464,0.032549729,0.020524515,0.014319809,0.010532475,0.008060905,0.006380716,0.005135521,0.004280618,0.00358209,402.5847877,402.5847854,402.5847831,402.5851902,402.5953532,402.6182804,402.6529332,402.69482,402.7416089,402.7940975,402.8443816,402.899034
1,537217.3706,3510699.115,0,0,0,0,0,0,0,0,0,0,0,0,0.513513514,0.722627737,0.785488959,0.775768535,0.738882554,0.680986476,0.641895846,0.625167936,0.610067352,0.601141227,0.600237812,0.611144279,0,0,0,0,0,0,0,0,0,0,0,0,389.3108174,389.2901634,389.2284197,389.1555847,389.0703063,388.9857772,388.9011254,388.8200074,388.7473114,388.6790371,388.6169804,388.5499637
1,536227.3706,3506949.115,0,0,0,0,0,0,0,0,0,0,0,0,0.810810811,0.897810219,0.921135647,0.934900542,0.949828962,0.950676213,0.942656524,0.921182266,0.910315491,0.878174037,0.846373365,0.819701493,0,0,0,0,0,0,0,0,0,0,0,0,404.5633966,404.5563735,404.5415209,404.5183062,404.4788605,404.4327863,404.383302,404.3370999,404.2971163,404.2606741,404.2303313,404.2028951
1,537907.3706,3505059.115,0,0,0,0,0,0,0,0,0,0,0,0,0.864864865,0.96350365,0.984227129,0.962025316,0.898517674,0.85043755,0.81451141,0.78817734,0.768167317,0.732667618,0.707966706,0.675422886,0,0,0,0,0,0,0,0,0,0,0,0,412.0934687,412.0800051,412.0654387,412.0503222,412.0180612,411.9706349,411.9137379,411.8507325,411.783154,411.7079611,411.6331332,411.5493584
0,540847.3706,3511389.115,0,0,0,0,0,0,0,0,0,0,0,0,0.432432432,0.518248175,0.627760252,0.663652803,0.675028506,0.678599841,0.695728496,0.722794447,0.728110599,0.737232525,0.733412604,0.730945274,0,0,0,0,0,0,0,0,0,0,0,0,371.4223979,371.4223958,371.419794,371.4131059,371.4054564,371.403812,371.4135817,371.4378882,371.4753364,371.5262694,371.580819,371.6453321
