Site,x,y,KISO,BUAL,THCY,RACA
Agua Cercada Tank,469595,3482070,0,0,1,0
Alamito Tank,462976,3484700,1,0,0,0
Alamo Tank,466978,3483241,1,0,0,0
Antelope Tank,545962,3497043,0,0,0,0
Arivaca Tank,465686,3491105,1,1,0,0
Arrastra Tank,471146,3485345,0,0,0,0
Austerlitz Mine,474444,3481398,0,0,0,0
Austerlitz Tank,474059,3481074,1,0,0,0
Bald Hill Tank,545465,3496308,0,0,0,0
Bathtub Tank,522153,3504647,0,0,0,0
Beck Tank,536214,3506957,0,0,0,0
Becker's Folly Tank,548365,3482989,0,0,0,0
Bill's W.P.,537982,3516405,0,0,0,0
Bill Woods Tank,547639,3475707,0,0,0,1
Border Tank,541580,3483014,0,0,0,1
Bull Tank,463622,3483865,0,0,0,0
BZ 10,552890,3508322,0,0,0,0
BZ 2,552314,3509152,0,0,0,0
BZ11,552038,3509073,0,0,0,0
Canelo Springs Ranch,546421,3487869,0,0,0,1
"Canelo Springs Ranch, Pond 1",546537,3488286,1,0,0,1
"Canelo Springs Ranch, Pond 2",546368,3488570,1,0,0,1
"Canelo Springs Ranch, Pond 3",546375,3488851,0,0,0,1
"Canelo Springs Ranch, Pond 4",546426,3488891,0,0,0,1
"Canelo Springs Ranch, stream section",546451,3488206,0,0,0,1
Canelo Tank,542159,3483936,0,0,0,1
Canyon Tank,524754,3507024,0,0,0,0
Cemetery Tank,472869,3483682,0,1,0,1
Chilton Tank,465838,3490344,1,1,0,0
Chulo Tank,470443,3483376,0,0,0,1
Cinco Well W.P.,540544,3516508,0,0,0,0
Cloud Tank,465174,3487839,0,0,0,0
Clyne Pond,546714,3514423,0,0,0,0
Clyne Spring,547045,3514876,0,0,0,0
Coches Tank,460041,3481169,0,0,0,0
Coches Well,461999,3482706,0,0,0,0
Coldspring,539671,3523726,0,0,0,0
Corner Tank,474252,3482969,0,0,0,0
Cottonwood W.P.,536020,3514060,0,0,0,0
Cow Bones Tank,542262,3479763,0,0,0,0
Crappie Tank,523470,3505171,0,0,0,0
Crescent Wetlands,538110,3517840,0,0,0,0
Dart Tank,474089,3480832,0,0,0,0
Dead Cow Tank,473184,3487974,0,1,0,1
Double Reed Tank,544020,3478543,0,0,0,0
Double Tank,470838,3487347,0,0,0,0
Dove Tank,544038,3476212,0,0,0,0
Dry Jack Tank,548151,3504790,0,0,0,0
Dynamite Tank,523525,3506373,0,0,0,0
Eddie #2 Tank,544532,3477480,0,0,0,0
Egret Wetlands,538073,3517773,0,0,0,0
Empire Gulch Spring,534339,3517030,0,0,0,0
Empire Well W.P.,531033,3516382,0,0,0,0
Encinas Tank,463149,3486675,0,0,0,0
False Tank,463919,3489271,1,0,0,0
Finley Tank,547991,3496884,0,0,0,1
Fish Tank,541900,3486098,1,0,0,0
Fraguita Tank,469440,3486126,0,1,0,0
Fritz Tank,547486,3482050,1,0,0,1
Frog Tank,465419,3485055,0,0,0,0
Gaucho W.P.,537345,3513945,0,0,0,0
Harkey Tank,548609,3489555,0,0,0,0
Headwaters,539019,3517416,1,0,0,0
Heart Wetlands,538043,3517859,0,0,0,0
Heifer Tank,465634,3483545,0,0,0,0
Hog Tank,522405,3506997,1,0,0,0
Holding tank,465835,3487204,1,0,1,0
Home Tank,537926,3505018,0,0,0,0
Horse Tank,466613,3486982,1,0,1,0
Hospital Tank,547227,3512978,0,0,0,0
Jack Daniels Dam,547974,3505155,1,0,0,1
Jack Tank,546800,3474079,0,0,0,0
Japanese Tank,474285,3479547,1,0,0,0
Jarillas Tank,467081,3484459,0,0,0,0
Jelk's Creek,544911,3490736,1,0,0,1
Jelk's Pond,544907,3490711,1,0,0,1
Johnson Tank,537207,3510687,0,0,0,0
Juan Tank,475751,3485967,1,0,0,0
Karen's Tank,534403,3517385,0,0,0,0
Leslie Tank,545439,3476729,0,0,0,1
Little Jack Daniels Tank,548849,3505482,0,0,0,0
Little Outfit Tank,540880,3482884,0,0,0,1
Little Tank,470265,3478750,0,0,0,0
Loading Tank,476476,3480972,1,0,0,0
Lower Empire Gulch,538715,3518705,1,0,0,0
Lower ODonell Creek,545849,3493309,0,0,0,1
Margarita Tank,475617,3478958,0,0,0,0
Maternity W.P.,531700,3514054,0,0,0,0
McDaniel Well Tank,547466,3493573,0,0,0,0
McNalley Tank,548683,3515584,0,0,0,0
Mesa Tanks,524770,3504512,0,0,0,0
Middle Canyon Spring,544779,3483730,0,0,0,0
Middle Canyon Tank,544728,3483282,0,0,0,0
Mineral Lake,477937,3480500,0,1,0,0
Mojanera Tank,469559,3481079,0,0,0,0
Muleshoe Tank,468805,3488245,0,0,0,0
Mustang Dam,552730,3505274,0,0,0,0
Ostrich Tank,470532,3484167,0,0,0,0
Palomas Tank,473208,3481714,0,0,0,0
Papago Tanks,476721,3483479,1,1,0,0
Pauline Tank,546283,3483274,0,0,0,0
Post Canyon,544991,3493855,1,0,0,0
Pump Canyon,540306,3524938,1,0,0,0
Pyeatt Tank,551674,3491760,0,0,0,0
Rattlesnake Canyon Pool,474212,3481949,0,0,0,0
Road Canyon W.P.,540859,3511398,0,0,0,0
Rosemary Tank,545004,3472983,0,0,0,1
Ruby Lakes,477245,3478528,1,0,0,0
Sawtelle Tank,548273,3484126,0,0,0,0
Section 11,556311,3499660,0,0,0,1
Section 12,556744,3499797,0,0,0,1
Section 13,557083,3500176,0,0,0,1
Section 17-18 Tank,543319,3477687,0,0,0,0
Section 3 House Pond,552082,3499617,0,0,0,1
Section 4,552087,3499687,0,0,0,1
Section 5,552918,3499750,0,0,0,1
Section 6,553078,3500061,0,0,0,1
Section 7,553765,3500290,0,0,0,1
Section 8,554479,3500235,0,0,0,1
Section 9,554939,3500021,0,0,0,1
Side Pocket Tank,469567,3487382,0,1,0,0
Sierra Bonita Tank,470936,3478133,1,0,0,0
Spartacus Pond,544862,3491038,0,0,0,0
Springwater Wetland,539161,3518944,0,0,0,0
State Tank,547860,3514697,0,0,0,0
Sues Pond,547716,3514102,0,0,0,0
Sycamore Tank,530897,3511362,0,0,0,0
Teacup Tank,466100,3485212,0,0,0,0
Tellas Tank,546769,3497848,0,0,0,0
"TNC, Lower",544875,3492309,0,0,0,0
"TNC, Upper",544852,3492268,0,0,0,1
Town Lake,477687,3480550,0,0,0,0
"Turkey Creek, Canelo Project",546093,3491491,0,0,0,1
"Turkey Creek, Fire Station to Canelo Project",546063,3490632,0,0,0,1
Unnamed Tank,533547,3479939,0,0,0,1
Upper Lower Empire Gulch,538715,3518705,0,0,0,0
Upper Tank,542419,3483076,0,0,0,0
Watergate Tank,465415,3489074,1,0,0,0
Woodchopper Tank,542734,3481716,0,0,1,1
Yellow Jacket Tank,468606,3483822,0,0,0,0
Yellowjacket Tank,468574,3483811,0,0,0,0
